Institutos,Título,Año,Autores,¿Mujeres?,DOI,reales/ficticios,tamaño,de donde,se puede usar,pacientes mexicanos,URL datos,LINK,cantidad de mujeres
0,CIMAT;CIMAT;CIMAT;IMSS;UNITEC,Automatic Segmentation of Coronary Arteries in X-ray Angiograms using Multiscale Analysis and Artificial Neural Networks,2019,Fernando Cervantes Sanchez;Ivan Cruz Aceves;Arturo Hernandez Aguirre;Martha Alicia Hernandez Gonzalez;Sergio Eduardo Solorio Meza,4,https://doi.org/10.3390/app9245507,reales,130,creado,si,si,http://personal.cimat.mx:8181/~ivan.cruz/DB_Angiograms.html,,1
1,IMSS;CIMAT;CIMAT;IMSS;IMSS,Determinación de la parábola de la vasculatura de la retina mediante un algoritmo computacional de segmentación,2019,David Jaime Giacinti;Fernando Cervantes Sánchez;Iván Cruz Aceves;Martha Alicia Hernández González;Luis Miguel López Montero,4,doi.org/10.21640/ns.v11i23.1902,reales,40,DRIVE: Digital Retinal Images for Vessel Extraction,si,no,https://drive.grand-challenge.org/,,1
2,University of Firenze;INAOE;University of Bologna;University of Firenze;University of Firenze,Application of Pattern Recognition Techniques to the Classification of Full-Term and Preterm Infant Cry,2015,Silvia Orlandi;Carlos Alberto Reyes Garcia;Andrea Bandini;Gianpaolo Donzelli;Claudia Manfredi,1;3;5,https://doi.org/10.1016/j.jvoice.2015.08.007,reales,28,creado,no,no,None,,3
3,INAOE;INAOE;INAOE;University of Alberta;INAOE;University of Firenze;University of Bologna,Classifying infant cry patterns by the Genetic Selection of a Fuzzy Model,2014,Alejandro Rosales Pérez; Carlos A. Reyes Gracía; Jesus A. Gonzales; Orion F. Reyes Galaviz; Hugo Jair Escalante; Silvia Orlandi,6,https://doi.org/10.1016/j.bspc.2014.10.002,reales,1.918,Baby Chillanto,si,si,None,,1
4,"INAOE;UANL;INAOE;University of Alabama at Birmingham;INAOE;INAOE;INAOE;INAOE;INAOE;INAOE",Acute leukemia classification by ensemble particle swarm model selection,2012,Hugo Jair Escalante;Manuel Montes y Gómez;Jesús A. González;Pilar Gómez Gil;Leopoldo Altamirano;Carlos A. Reyes;Carolina Reta;Alejandro Rosales,4;7,https://doi.org/10.1016/j.artmed.2012.03.005,reales,633,Coleccion de Imagenes del IMSS,si,si,None,sci-hub.se/10.1016/j.artmed.2012.03.005,2
5,INAOE;INAOE;INAOE,Acoustic feature selection and classification of emotions in speech using a 3D continuous emotion model,2011,Humberto Pérez Espinoza;Carlos A Reyes García;Luis Villaseñor Pineda,0,https://doi.org/10.1016/j.bspc.2011.02.008,reales,,FAU Aibo;Berlin Database of Emotional Speech;Spanish Emotional Speech;Emotion Primitives VAM Corpus;EMOCAP Database,si;si;si;si;si,no;no;no;no;no,http://emodb.bilderbar.info/start.html;,https://scihubtw.tw/https://doi.org/10.1016/j.bspc.2011.02.008,0
6,BUAP;INAOE;BUAP;INAOE;Instituto Nacional de Rehabilitación,Automatic infant cry analysis for the identification of qualitative features to help opportune diagnosis,2012,María A. Ruíz Díaz;Carlos A Reyes García;Luis C. Altamirano Robles;Jorge E. Xalteno Altamirano;Antonio Verduzco Mendoza,1,https://www.sciencedirect.com/science/article/abs/pii/S1746809411001030,reales,195;26,Baby Chillanto;Cuban Infant Cries,si;si,si;no,Se necesita permiso,,1
8,INAOE;INAOE;INAOE;INAOE,Aplicación de la Sonificación de Señales Cerebrales en Clasificación Automática,2015,"Erick Fernando Gonzales Castañeda;Alejandro Torres Garcia;Carlos A. Reyes Gracia;Luis Villaseñor Pineda",0,dx.doi.org/10.17488/RMIB.36.3.8,reales,4455,creado,no,si,None,http://www.scielo.org.mx/scielo.php?script=sci_abstract&pid=S0188-95322015000300008&lng=en,0
9,UAM;UPAEP;UAM;UAM;INAOE;INAOE,The role of n-grams in firstborns identification,2015,Gabriela Ramírez de la Rosa;Verónica Reyes Meza;Esaú Villatoro Tello;Héctor Jiménez Salazar;Manuel Montes y Gómez;Luis Villaseñor Pineda,1;2,10.1007/978-3-319-27060-9_8,reales,129,creado,no,si,None,https://www.scopus.com/record/display.uri?eid=2-s2.0-84952022363&origin=inward&txGid=91672f548b23ebc9cef8281f241fb259,2
10,INAOE;INAOE;INAOE,Análisis de señales electroencefalográficas para la clasificación de habla imaginada,2013,A. A. Torres-García;C. A. Reyes-García;L. Villaseñor-Pineda,0,"23-39, ISSN 0188-9532.",reales,4455,creado,no,si,None,https://www.medigraphic.com/pdfs/inge/ib-2013/ib131b.pdf,0
